RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,SU_TOUR_INTRST_VALUE,GG_IC_TOUR_INTRST_VALUE,BS_TOUR_INTRST_VALUE,CHN_DJ_TOUR_INTRST_VALUE,CB_TOUR_INTRST_VALUE,GN_US_TOUR_INTRST_VALUE,GB_DG_TOUR_INTRST_VALUE,JN_GJ_TOUR_INTRST_VALUE,JNBK_TOUR_INTRST_VALUE,GW_TOUR_INTRST_VALUE,JJ_TOUR_INTRST_VALUE
53338307,20231225,F,20대,경상남도,모름,약간 커졌다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,약간 적어졌다,예전과 비슷하다,약간 커졌다,약간 적어졌다,예전과 비슷하다,약간 적어졌다,약간 커졌다
53338366,20231225,F,50대,경상남도,500이상700만원 미만,약간 커졌다,약간 커졌다,예전과 비슷하다,약간 적어졌다,약간 적어졌다,약간 적어졌다,약간 적어졌다,약간 적어졌다,예전과 비슷하다,예전과 비슷하다,약간 적어졌다
53338382,20231225,M,50대,부산광역시,700만원 이상,예전과 비슷하다,약간 커졌다,많이 적어졌다,예전과 비슷하다,예전과 비슷하다,약간 적어졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,예전과 비슷하다
53338627,20231225,M,50대,경상남도,500이상700만원 미만,약간 적어졌다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 적어졌다,예전과 비슷하다,약간 커졌다,약간 커졌다,예전과 비슷하다
53338630,20231225,F,50대,서울특별시,300이상500만원 미만,예전과 비슷하다,약간 커졌다,약간 적어졌다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 적어졌다,약간 커졌다,약간 커졌다,예전과 비슷하다
53338846,20231225,F,50대,경상남도,700만원 이상,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다
53339147,20231225,M,40대,충청남도(세종시 포함),300이상500만원 미만,약간 적어졌다,약간 적어졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,많이 적어졌다
53339503,20231225,F,50대,강원도,500이상700만원 미만,약간 커졌다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다
53339551,20231225,F,50대,경기도,300이상500만원 미만,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다
53339796,20231225,M,50대,경기도,500이상700만원 미만,약간 커졌다,약간 커졌다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,약간 커졌다,예전과 비슷하다,약간 커졌다,약간 커졌다
53340016,20231225,M,40대,경기도,300이상500만원 미만,많이 적어졌다,약간 커졌다,약간 적어졌다,약간 커졌다,약간 커졌다,예전과 비슷하다,약간 적어졌다,많이 커졌다,예전과 비슷하다,많이 커졌다,많이 커졌다
53340027,20231225,F,50대,서울특별시,300이상500만원 미만,예전과 비슷하다,예전과 비슷하다,많이 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,많이 커졌다,약간 커졌다,예전과 비슷하다,약간 커졌다,많이 커졌다
